hour_index,timestamp,source_chunk,max_branch_pf_error_mw,max_bus_angle_error_deg,max_result_pg_error_mw,max_released_operator_error_mw,max_corrected_operator_error_mw,max_independent_nodal_residual_mw,reference_angle_error_deg,max_active_rated_branch_overload_mw,replay_passed
8280,2019-12-11T23:00:00,annual_4.mat,7.048583938740194e-12,1.9895196601282805e-13,6.252776074688882e-12,5.4569682106375694e-12,5.6843418860808015e-12,7.560174708487466e-12,0.0,503.2239568845199,True
8281,2019-12-12T00:00:00,annual_4.mat,3.581135388230905e-12,1.5631940186722204e-13,5.4569682106375694e-12,5.6843418860808015e-12,6.252776074688882e-12,4.177991286269389e-12,0.0,527.3656316223149,True
8282,2019-12-12T01:00:00,annual_4.mat,4.206412995699793e-12,1.1368683772161603e-13,3.865352482534945e-12,4.831690603168681e-12,7.389644451905042e-12,2.7284841053187847e-12,0.0,561.1353899584082,True
8283,2019-12-12T02:00:00,annual_4.mat,5.4001247917767614e-12,1.1368683772161603e-13,2.9558577807620168e-12,2.9558577807620168e-12,2.7284841053187847e-12,5.7838178690872155e-12,0.0,562.6392710789146,True
8284,2019-12-12T03:00:00,annual_4.mat,5.7980287238024175e-12,9.947598300641403e-14,1.3642420526593924e-12,3.637978807091713e-12,6.366462912410498e-12,3.907985046680551e-12,0.0,562.0906437886998,True
8285,2019-12-12T04:00:00,annual_4.mat,4.320099833421409e-12,1.4210854715202004e-13,5.002220859751105e-12,3.865352482534945e-12,6.139089236967266e-12,5.6701310313655995e-12,0.0,546.2388160877141,True
8286,2019-12-12T05:00:00,annual_4.mat,6.991740519879386e-12,1.1368683772161603e-13,1.8189894035458565e-12,2.9558577807620168e-12,9.549694368615746e-12,3.979039320256561e-12,0.0,566.5529450030906,True
8287,2019-12-12T06:00:00,annual_4.mat,4.376943252282217e-12,1.9895196601282805e-13,4.774847184307873e-12,5.4569682106375694e-12,8.185452315956354e-12,7.0912165028858e-12,0.0,612.8092018093225,True
8288,2019-12-12T07:00:00,annual_4.mat,5.5138116294983774e-12,1.8474111129762605e-13,6.59383658785373e-12,6.536993168992922e-12,8.86757334228605e-12,8.469669410260394e-12,0.0,750.5562178901757,True
8289,2019-12-12T08:00:00,annual_4.mat,5.7127635955112055e-12,1.8474111129762605e-13,7.617018127348274e-12,3.637978807091713e-12,1.000444171950221e-11,4.320099833421409e-12,0.0,1034.6152309878407,True
8290,2019-12-12T09:00:00,annual_4.mat,4.945377440890297e-12,2.1316282072803006e-13,6.139089236967266e-12,7.73070496506989e-12,9.094947017729282e-12,5.115907697472721e-12,0.0,1068.302413242002,True
8291,2019-12-12T10:00:00,annual_4.mat,4.718003765447065e-12,1.5631940186722204e-13,5.229594535194337e-12,5.229594535194337e-12,1.0118128557223827e-11,3.808509063674137e-12,0.0,1075.1429905607351,True
8292,2019-12-12T11:00:00,annual_4.mat,6.366462912410498e-12,1.7053025658242404e-13,7.16227077646181e-12,4.092726157978177e-12,1.0231815394945443e-11,6.153300091682468e-12,0.0,1110.33640669932,True
8293,2019-12-12T12:00:00,annual_4.mat,6.0822458181064576e-12,2.2737367544323206e-13,6.366462912410498e-12,9.322320693172514e-12,5.6843418860808015e-12,5.5564441936439835e-12,0.0,1021.7090827053798,True
8294,2019-12-12T13:00:00,annual_4.mat,5.201172825763933e-12,2.2737367544323206e-13,3.637978807091713e-12,3.865352482534945e-12,1.0686562745831907e-11,3.581135388230905e-12,0.0,989.0589446154725,True
8295,2019-12-12T14:00:00,annual_4.mat,5.9117155615240335e-12,1.7053025658242404e-13,4.774847184307873e-12,4.092726157978177e-12,8.185452315956354e-12,9.308109838457312e-12,0.0,1055.2559220370733,True
8296,2019-12-12T15:00:00,annual_4.mat,6.0822458181064576e-12,1.4210854715202004e-13,2.2737367544323206e-13,5.002220859751105e-12,4.774847184307873e-12,9.407585821463726e-12,0.0,1106.4033801661253,True
8297,2019-12-12T16:00:00,annual_4.mat,4.263256414560601e-12,2.2737367544323206e-13,8.86757334228605e-12,5.229594535194337e-12,7.73070496506989e-12,1.1226575225009583e-11,0.0,1146.363732176729,True
8298,2019-12-12T17:00:00,annual_4.mat,7.531752999057062e-12,2.5579538487363607e-13,6.0254023992456496e-12,6.139089236967266e-12,1.1596057447604835e-11,3.865352482534945e-12,0.0,1172.19968080077,True
8299,2019-12-12T18:00:00,annual_4.mat,5.343281372915953e-12,1.7053025658242404e-13,3.865352482534945e-12,7.275957614183426e-12,5.6843418860808015e-12,4.405364961712621e-12,0.0,949.919743793208,True
