TimeStamp,interface,FlowMWH,PositiveLimitMWH,NegativeLimitMWH,sample_count,distinct_timestamp_count,FlowMWH_unimputed,FlowMWH_finite_samples,FlowMWH_imputed,PositiveLimitMWH_unimputed,PositiveLimitMWH_finite_samples,PositiveLimitMWH_imputed,NegativeLimitMWH_unimputed,NegativeLimitMWH_finite_samples,NegativeLimitMWH_imputed,PositiveLimitMWH_sentinel_samples,NegativeLimitMWH_sentinel_samples,spring_dst_missing_hour,fall_dst_ambiguous_hour,filter_unimputed_unambiguous_hour,filter_unimputed_unambiguous_exactly_12_unique_samples,InterfaceName
2019-09-02 13:00:00,West Central,474.56,9999.0,-9999.0,12,12,474.56,12,False,9999.0,12,False,-9999.0,12,False,12,12,False,False,True,True,WEST CENTRAL
2019-09-06 02:00:00,Central East,2188.10333333333,2410.0,-9999.0,12,12,2188.10333333333,12,False,2410.0,12,False,-9999.0,12,False,0,12,False,False,True,True,CENTRAL EAST - VC
2019-09-06 02:00:00,Dun/SPR-South,2909.24666666667,4350.0,-9999.0,12,12,2909.24666666667,12,False,4350.0,12,False,-9999.0,12,False,0,12,False,False,True,True,SPR/DUN-SOUTH
2019-09-06 02:00:00,Dysinger East,713.569166666667,3150.0,-9999.0,12,12,713.569166666667,12,False,3150.0,12,False,-9999.0,12,False,0,12,False,False,True,True,DYSINGER EAST
2019-09-06 02:00:00,Moses South,2026.6225,3150.0,-1600.0,12,12,2026.6225,12,False,3150.0,12,False,-1600.0,12,False,0,0,False,False,True,True,MOSES SOUTH
2019-09-06 02:00:00,Total East,3909.08833333333,6800.0,-9999.0,12,12,3909.08833333333,12,False,6800.0,12,False,-9999.0,12,False,0,12,False,False,True,True,TOTAL EAST
2019-09-06 02:00:00,UpNY-Coned,2201.93833333333,5700.0,-9999.0,12,12,2201.93833333333,12,False,5700.0,12,False,-9999.0,12,False,0,12,False,False,True,True,UPNY CONED
2019-09-06 02:00:00,West Central,451.4175,9999.0,-9999.0,12,12,451.4175,12,False,9999.0,12,False,-9999.0,12,False,12,12,False,False,True,True,WEST CENTRAL
2019-09-06 03:00:00,Central East,2237.09083333333,2410.0,-9999.0,12,12,2237.09083333333,12,False,2410.0,12,False,-9999.0,12,False,0,12,False,False,True,True,CENTRAL EAST - VC
2019-09-06 03:00:00,Dun/SPR-South,2792.46916666667,4350.0,-9999.0,12,12,2792.46916666667,12,False,4350.0,12,False,-9999.0,12,False,0,12,False,False,True,True,SPR/DUN-SOUTH
2019-09-06 03:00:00,Dysinger East,735.860833333333,3150.0,-9999.0,12,12,735.860833333333,12,False,3150.0,12,False,-9999.0,12,False,0,12,False,False,True,True,DYSINGER EAST
2019-09-06 03:00:00,Moses South,2023.00666666667,3150.0,-1600.0,12,12,2023.00666666667,12,False,3150.0,12,False,-1600.0,12,False,0,0,False,False,True,True,MOSES SOUTH
2019-09-06 03:00:00,Total East,3959.61083333333,6800.0,-9999.0,12,12,3959.61083333333,12,False,6800.0,12,False,-9999.0,12,False,0,12,False,False,True,True,TOTAL EAST
2019-09-06 03:00:00,UpNY-Coned,2130.71416666667,5700.0,-9999.0,12,12,2130.71416666667,12,False,5700.0,12,False,-9999.0,12,False,0,12,False,False,True,True,UPNY CONED
