control_key,device_key,source_bus,source_control_role,canonical_enabled,regulated_bus,setpoint_pu,qmin_mvar,qmax_mvar,bounds_are_placeholder,recommended_treatment,raw_regulated_bus,raw_remote_control_omitted
PERFORM2019:GEN:600:11:CONTROL,PERFORM2019:GEN:600:11,600,offline_generator_control,0,600,1.02,-0.8,1,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,600,0
PERFORM2019:GEN:600:12:CONTROL,PERFORM2019:GEN:600:12,600,offline_generator_control,0,600,1.02,-0.8,1.1,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,600,0
PERFORM2019:GEN:600:13:CONTROL,PERFORM2019:GEN:600:13,600,offline_generator_control,0,600,1.02,-0.8,1.1,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,600,0
PERFORM2019:GEN:600:14:CONTROL,PERFORM2019:GEN:600:14,600,offline_generator_control,0,600,1.02,-0.9,1.1,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,600,0
PERFORM2019:GEN:600:15:CONTROL,PERFORM2019:GEN:600:15,600,offline_generator_control,0,600,1.02,-0.9,1.1,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,600,0
PERFORM2019:GEN:600:16:CONTROL,PERFORM2019:GEN:600:16,600,offline_generator_control,0,600,1.02,-0.9,1.1,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,600,0
PERFORM2019:GEN:600:17:CONTROL,PERFORM2019:GEN:600:17,600,offline_generator_control,0,600,1.02,-1.1,1.4,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,600,0
PERFORM2019:GEN:600:18:CONTROL,PERFORM2019:GEN:600:18,600,offline_generator_control,0,600,1.02,-1.1,1.4,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,600,0
PERFORM2019:GEN:600:19:CONTROL,PERFORM2019:GEN:600:19,600,offline_generator_control,0,600,1.02,-1.1,1.4,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,600,0
PERFORM2019:GEN:600:20:CONTROL,PERFORM2019:GEN:600:20,600,offline_generator_control,0,600,1.02,-1.1,1.4,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,600,0
PERFORM2019:GEN:600:21:CONTROL,PERFORM2019:GEN:600:21,600,offline_generator_control,0,600,1.02,-1.1,1.4,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,600,0
PERFORM2019:GEN:600:22:CONTROL,PERFORM2019:GEN:600:22,600,offline_generator_control,0,600,1.02,-2.9,3.7,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,600,0
PERFORM2019:GEN:601:1:CONTROL,PERFORM2019:GEN:601:1,601,offline_generator_control,0,601,1.02,-1.1,1.4,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,601,0
PERFORM2019:GEN:601:2:CONTROL,PERFORM2019:GEN:601:2,601,offline_generator_control,0,601,1.02,-1.1,1.4,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,601,0
PERFORM2019:GEN:601:3:CONTROL,PERFORM2019:GEN:601:3,601,offline_generator_control,0,601,1.02,-1.1,1.4,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,601,0
PERFORM2019:GEN:601:4:CONTROL,PERFORM2019:GEN:601:4,601,offline_generator_control,0,601,1.02,-1.1,1.4,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,601,0
PERFORM2019:GEN:601:5:CONTROL,PERFORM2019:GEN:601:5,601,offline_generator_control,0,601,1.02,-1.1,1.4,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,601,0
