device_key,source_bus,model_bus,status,source_reference_vg_pu,mapped_vg_pu,policy,raw_remote_control_omitted
PERFORM2019:GEN:409:1,409,20409,1,1.01687721999294,1.01687721999294,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:463:1,463,20463,1,1.01420855874659,1.01420855874659,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:463:2,463,20463,1,1.01420855874659,1.01420855874659,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:463:3,463,20463,1,1.01420855874659,1.01420855874659,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:463:4,463,20463,1,1.01420855874659,1.01420855874659,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:463:5,463,20463,1,1.01420855874659,1.01420855874659,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:463:6,463,20463,1,1.01420855874659,1.01420855874659,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:469:1,469,20469,1,1.01380834110966,1.01380834110966,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:474:1,474,20474,1,1.01387959698411,1.01387959698411,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:474:2,474,20474,1,1.01387959698411,1.01387959698411,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:492:1,492,20492,0,1.02,1.02,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:508:C1,508,20508,0,1.02,1.02,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:508:C2,508,20508,1,1.03749567212756,1.03749567212756,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:526:1,526,20526,1,1.04413606784011,1.04413606784011,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:535:1,535,20535,1,1.05028453199001,1.05028453199001,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:535:C1,535,20535,1,1.05028453199001,1.05028453199001,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:546:1,546,20546,1,1.04970885260446,1.04970885260446,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:547:1,547,20547,0,1.02,1.02,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:547:2,547,20547,0,1.02,1.02,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:547:3,547,20547,0,1.02,1.02,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:547:4,547,20547,0,1.02,1.02,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:547:5,547,20547,0,1.02,1.02,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:547:6,547,20547,0,1.02,1.02,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:547:7,547,20547,0,1.02,1.02,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:547:8,547,20547,0,1.02,1.02,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:547:9,547,20547,0,1.02,1.02,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:547:10,547,20547,0,1.02,1.02,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:547:11,547,20547,0,1.02,1.02,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:547:12,547,20547,0,1.02,1.02,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:552:1,552,20552,1,1.04753590853958,1.04753590853958,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:552:2,552,20552,0,1.01,1.01,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:552:3,552,20552,0,1.01,1.01,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:552:4,552,20552,1,1.04753590853958,1.04753590853958,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:552:5,552,20552,1,1.04753590853958,1.04753590853958,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:554:C1,554,20554,1,1.04656835401861,1.04656835401861,local_PV_common_terminal_Q_span_weighted_reference_prior,0
