model_gen_row,device_key,source_gen_row,source_bus,model_bus,source_device_role,zone,mapping_kind,status,prior_pg_mw,prior_qg_mvar,pmin_mw,pmax_mw,qmin_mvar,qmax_mvar,bounded_pg_mw,bounded_qg_mvar,replay_pg_mw,replay_qg_mvar,pg_movement_mw,qg_movement_mvar
88,PERFORM2019:GEN:80:1,90,80,20080,native_generation,E,exact_source_region,1,55.1484151390882,-18.2929969218979,15.000001,55.500001,-30.500001,38.9,55.1484183208899,1.46032968057619,55.1484183208899,1.46032994637466,3.18180174474492e-06,19.7533268682725
89,PERFORM2019:GEN:82:1,92,82,20082,native_generation,E,exact_source_region,1,34.2814603382707,-8.24621831926582,0,34.5,-19,24.2,34.2814634235954,-2.48641252609083,34.2814634235954,-2.48641256234533,3.08532472104162e-06,5.75980575692049
90,PERFORM2019:GEN:83:1,93,83,20083,native_generation,E,exact_source_region,1,7.8418080350838,-0.442951978089008,4,8,-4.4,5.6,7.84181084910458,1.80162734850102,7.84181084910458,1.80162791935525,2.81402077462189e-06,2.24457989744425
91,PERFORM2019:GEN:83:2,94,83,20083,native_generation,E,exact_source_region,1,7.8418080350838,-0.442951978089006,4,8,-4.4,5.6,7.84181084910458,1.80162734850102,7.84181084910458,1.80162791935525,2.81402077462189e-06,2.24457989744425
92,PERFORM2019:GEN:84:1,95,84,20084,native_generation,F,exact_source_region,1,10.7824961476728,0.30924166934834,1,11,-6.1,7.7,10.7824991777477,0.0718785385238901,10.7824991777477,0.0718784763671682,3.03007488078322e-06,-0.237363192981172
93,PERFORM2019:GEN:84:2,96,84,20084,native_generation,F,exact_source_region,1,10.7824961476728,0.30924166934834,1,11,-6.1,7.7,10.7824991777477,0.0718785385238893,10.7824991777477,0.0718784763671682,3.03007488078322e-06,-0.237363192981172
94,PERFORM2019:GEN:95:C1,97,95,53,native_generation,B,assumed_same_zone_source_distance_aggregation,1,66.5755439782977,-6.95420038767681,37,67.000002,-46.900001,50.25,66.57554710098,2.68073400454798,66.57554710098,8.1473410852798,3.12268224433865e-06,15.1015414729566
95,PERFORM2019:GEN:116:1,98,116,71,native_generation,C,assumed_same_zone_source_distance_aggregation,1,47.3978320613285,-19.5634978710225,41.999999,47.7,-26.199999,33.399999,47.3978351899139,4.54031976986522,47.3978351899139,4.54032525012706,3.12858540496563e-06,24.1038231211495
96,PERFORM2019:GEN:125:1,99,125,20125,native_generation,E,exact_source_region,0,0,0,0.1,2,-1.1,1.4,0,0,0,0,0,0
97,PERFORM2019:GEN:125:C1,100,125,20125,native_generation,E,exact_source_region,0,0,0,75.999999,102.100003,-71.469998,76.574999,0,0,0,0,0,0
98,PERFORM2019:GEN:127:C1,101,127,20127,native_generation,F,exact_source_region,1,708.879177964354,-135.702782893951,666.400003,893.099976,-625.169992,669.824982,708.879182214355,-100.011167305793,708.879182214355,-100.011164938069,4.25000109771645e-06,35.691617955882
