source_bus,model_bus,device_key,base_kv,source_vm_pu,regional_vm_pu,delta_vm_pu,source_va_deg,regional_va_deg,source_va_aligned_deg,regional_va_aligned_deg,delta_va_deg
395,20395,PERFORM2019:BUS:395,230,1.05958116216181,1.0898718094613,0.0302906472994924,25.4173182708658,23.353519057422,25.4173182708658,23.353519057422,-2.06379921344379
396,20396,PERFORM2019:BUS:396,115,1.00656797768097,1.0509971886055,0.0444292109245255,11.757170288484,6.58735141059352,11.757170288484,6.58735141059352,-5.16981887789044
397,20397,PERFORM2019:BUS:397,115,1.00656818392329,1.05099738609429,0.0444292021710009,11.7571938249733,6.58737300015574,11.7571938249733,6.58737300015574,-5.16982082481752
398,20398,PERFORM2019:BUS:398,115,1.00675971759889,1.05104506780145,0.0442853502025549,11.7878209720153,6.61781798927549,11.7878209720153,6.61781798927549,-5.17000298273982
399,20399,PERFORM2019:BUS:399,115,0.998716447544054,1.03789902288774,0.0391825753436842,4.5306975718919,1.5637108594586,4.5306975718919,1.5637108594586,-2.96698671243331
400,20400,PERFORM2019:BUS:400,115,0.99900012684726,1.0382715912593,0.0392714644120364,3.62621876934281,0.909442417258361,3.62621876934281,0.909442417258361,-2.71677635208445
401,20401,PERFORM2019:BUS:401,115,1.02183040881555,1.05112754258244,0.029297133766891,22.9205099371688,19.2512654505178,22.9205099371688,19.2512654505178,-3.66924448665102
402,20402,PERFORM2019:BUS:402,115,1.02634093227873,1.06161238069488,0.0352714484161534,21.3911878665779,16.4280815475085,21.3911878665779,16.4280815475085,-4.96310631906937
403,20403,PERFORM2019:BUS:403,115,1.02011530276155,1.05056952837869,0.0304542256171383,22.8853905266842,18.7580056567283,22.8853905266842,18.7580056567283,-4.12738486995588
404,20404,PERFORM2019:BUS:404,115,1.01598887406449,1.05047446445278,0.0344855903882821,24.4553654204168,20.3208763949887,24.4553654204168,20.3208763949887,-4.13448902542811
405,20405,PERFORM2019:BUS:405,115,1.01596883086721,1.05051877147297,0.0345499406057617,24.4827471083439,20.3456408809239,24.4827471083439,20.3456408809239,-4.13710622742002
406,20406,PERFORM2019:BUS:406,115,1.01689907828367,1.05049774324208,0.033598664958403,24.2385671940628,20.128039277846,24.2385671940628,20.128039277846,-4.11052791621677
407,20407,PERFORM2019:BUS:407,115,1.0162692245485,1.05031906806387,0.034049843515374,24.3505756329696,20.2309246958739,24.3505756329696,20.2309246958739,-4.11965093709568
408,20408,PERFORM2019:BUS:408,115,1.01641885338996,1.05018515790549,0.0337663045155325,24.2731395020345,20.1633137316376,24.2731395020345,20.1633137316376,-4.10982577039695
409,20409,PERFORM2019:BUS:409,115,1.01687721999294,1.04993282425632,0.0330556042633792,24.076295664681,19.98949452366,24.076295664681,19.98949452366,-4.08680114102091
410,20410,PERFORM2019:BUS:410,115,1.02115738894697,1.04904418263484,0.0278867936878628,23.505592365757,19.7180706531904,23.505592365757,19.7180706531904,-3.78752171256659
411,20411,PERFORM2019:BUS:411,115,1.02292465683805,1.04945759801971,0.0265329411816664,23.8247218387018,20.1870259393347,23.8247218387018,20.1870259393347,-3.63769589936709
412,20412,PERFORM2019:BUS:412,115,1.01542207446614,1.04114266924468,0.0257205947785459,20.9238613556693,16.7837090423841,20.9238613556693,16.7837090423841,-4.14015231328528
413,20413,PERFORM2019:BUS:413,115,1.01788443199475,1.04225622733151,0.0243717953367659,21.5985923210868,17.6558739760411,21.5985923210868,17.6558739760411,-3.94271834504565
414,20414,PERFORM2019:BUS:414,115,1.02800191104455,1.04869163426192,0.0206897232173662,24.2394976456616,20.9265124658437,24.2394976456616,20.9265124658437,-3.3129851798179
415,20415,PERFORM2019:BUS:415,115,1.04180544583023,1.05974606692734,0.0179406210971129,27.5475853794182,24.970035165149,27.5475853794182,24.970035165149,-2.57755021426922
416,20416,PERFORM2019:BUS:416,115,1.04175677670861,1.05969873720731,0.0179419604987019,27.5328906280155,24.955827051909,27.5328906280155,24.955827051909,-2.57706357610647
417,20417,PERFORM2019:BUS:417,115,1.04248104536242,1.06024277797558,0.0177617326131589,27.6977125875363,25.1524017483049,27.6977125875363,25.1524017483049,-2.54531083923146
418,20418,PERFORM2019:BUS:418,115,1.03978837755068,1.05844982823087,0.0186614506801954,27.1225643295661,24.4500422706738,27.1225643295661,24.4500422706738,-2.67252205889233
419,20419,PERFORM2019:BUS:419,115,1.01379322721093,1.04094251239955,0.027149285188627,20.5564139026072,16.1978779299216,20.5564139026072,16.1978779299216,-4.35853597268567
420,20420,PERFORM2019:BUS:420,115,1.0136641838135,1.04094826775396,0.027284083940464,20.5367020634594,16.1569634988479,20.5367020634594,16.1569634988479,-4.37973856461147
