model_gen_row,device_key,source_gen_row,source_bus,model_bus,source_device_role,zone,mapping_kind,status,prior_pg_mw,prior_qg_mvar,pmin_mw,pmax_mw,qmin_mvar,qmax_mvar
147,PERFORM2019:GEN:395:1,150,395,20395,native_generation,E,exact_source_region,1,32.7909509115428,-1.76310487135797,0.3,33.000001,-18.2,23.100001
148,PERFORM2019:GEN:395:2,151,395,20395,native_generation,E,exact_source_region,1,60.6135556974324,-8.62518206446561,0.5,61.000001,-33.6,42.699999
149,PERFORM2019:GEN:395:3,152,395,20395,native_generation,E,exact_source_region,1,90.4234729898145,-19.3828854401637,0.7,91.000003,-50.099999,63.700002
150,PERFORM2019:GEN:395:4,153,395,20395,native_generation,E,exact_source_region,1,136.132014180804,-39.5615924514794,1.1,137,-75.400001,95.899999
151,PERFORM2019:GEN:399:1,154,399,20399,native_generation,E,exact_source_region,1,73.5312028709144,-14.1326818921574,0,74.000001,-40.700001,51.800001
152,PERFORM2019:GEN:405:1,155,405,20405,native_generation,E,exact_source_region,1,25.4858277633676,-6.86377005620455,1,25.999999,-14.300001,18.2
153,PERFORM2019:GEN:406:1,156,406,20406,native_generation,E,exact_source_region,1,14.7033873597217,-2.74012566328677,1,15.000001,-8.3,10.5
154,PERFORM2019:GEN:407:1,157,407,20407,native_generation,E,exact_source_region,1,24.5056057521914,-6.61497047864013,1,25,-13.8,17.5
155,PERFORM2019:GEN:408:1,158,408,20408,native_generation,E,exact_source_region,1,23.5253855844998,-6.23497195028765,1,23.999999,-13.2,16.8
156,PERFORM2019:GEN:409:1,159,409,20409,native_generation,E,exact_source_region,1,20.5847212733986,-5.21564882879793,1,20.999999,-11.6,14.7
157,PERFORM2019:GEN:463:1,160,463,20463,native_generation,F,exact_source_region,1,1.26810537393965,0.100556146316192,0.2,1.3,-0.7,0.9
158,PERFORM2019:GEN:463:2,161,463,20463,native_generation,F,exact_source_region,1,6.86158414823846,0.235489521503057,1,7,-3.9,4.9
159,PERFORM2019:GEN:463:3,162,463,20463,native_generation,F,exact_source_region,1,6.86158414823846,0.235489521503057,1,7,-3.9,4.9
160,PERFORM2019:GEN:463:4,163,463,20463,native_generation,F,exact_source_region,1,6.86158414823846,0.235489521503057,1,7,-3.9,4.9
