source_bus,model_bus,zone,mapping_kind,allocation_anchor_source_bus,source_path_impedance_distance_pu,source_base_kv,is_external_boundary_proxy
1485,21485,F,exact_source_region,1485,0,69,0
1486,21486,G,exact_source_region,1486,0,69,0
1487,21487,G,exact_source_region,1487,0,115,0
1488,21488,G,exact_source_region,1488,0,69,0
1489,21489,K,exact_source_region,1489,0,69,0
1490,21490,K,exact_source_region,1490,0,69,0
1491,21491,K,exact_source_region,1491,0,69,0
1492,21492,K,exact_source_region,1492,0,69,0
1493,21493,J,exact_source_region,1493,0,138,0
1494,21494,K,exact_source_region,1494,0,69,0
1495,21495,K,exact_source_region,1495,0,69,0
1496,21496,K,exact_source_region,1496,0,138,0
1497,21497,K,exact_source_region,1497,0,69,0
1498,21498,K,exact_source_region,1498,0,69,0
1499,21499,K,exact_source_region,1499,0,345,0
1500,21500,I,exact_source_region,1500,0,69,0
1501,21501,I,exact_source_region,1501,0,138,0
1502,21502,I,exact_source_region,1502,0,138,0
1503,21503,J,exact_source_region,1503,0,69,0
1504,21504,K,exact_source_region,1504,0,69,0
1505,21505,K,exact_source_region,1505,0,69,0
1506,21506,J,exact_source_region,1506,0,69,0
1507,41,F,assumed_same_zone_source_distance_aggregation,1507,0,115,0
1508,37,F,assumed_same_zone_source_distance_aggregation,870,0.043745043147767,115,0
1509,21509,G,exact_source_region,1509,0,69,0
1510,21510,G,exact_source_region,1510,0,115,0
1511,21511,G,exact_source_region,1511,0,69,0
1512,21512,G,exact_source_region,1512,0,69,0
1513,37,F,assumed_same_zone_source_distance_aggregation,706,0.043446716053862,115,0
1514,21514,G,exact_source_region,1514,0,115,0
1515,44,E,assumed_same_zone_source_distance_aggregation,768,0.0623178152697926,115,0
1516,21516,G,exact_source_region,1516,0,69,0
1517,21517,G,exact_source_region,1517,0,115,0
1518,21518,G,exact_source_region,1518,0,138,0
1519,21519,G,exact_source_region,1519,0,345,0
1520,41,F,assumed_same_zone_source_distance_aggregation,508,0.0190065235397394,115,0
1521,37,F,assumed_same_zone_source_distance_aggregation,800,0.0234141346199256,230,0
1522,21522,K,exact_source_region,1522,0,69,0
1523,21523,K,exact_source_region,1523,0,69,0
1524,21524,G,exact_source_region,1524,0,115,0
1525,21525,H,exact_source_region,1525,0,115,0
1526,21526,G,exact_source_region,1526,0,115,0
1527,21527,D,exact_source_region,1527,0,115,0
1528,21528,J,exact_source_region,1528,0,345,1
1529,21529,J,exact_source_region,1529,0,138,0
1530,21530,J,exact_source_region,1530,0,138,0
1531,21531,J,exact_source_region,1531,0,345,0
1532,21532,J,exact_source_region,1532,0,138,0
1533,21533,K,exact_source_region,1533,0,69,0
1534,21534,K,exact_source_region,1534,0,69,0
1535,21535,K,exact_source_region,1535,0,69,0
1536,21536,K,exact_source_region,1536,0,69,0
1537,21537,K,exact_source_region,1537,0,69,0
1538,21538,K,exact_source_region,1538,0,115,0
1539,21539,K,exact_source_region,1539,0,69,0
1540,21540,K,exact_source_region,1540,0,69,0
1541,21541,K,exact_source_region,1541,0,69,0
1542,21542,K,exact_source_region,1542,0,69,0
1543,1222,E,assumed_same_zone_source_distance_aggregation,1222,0.0524034350019157,115,0
1544,21544,E,exact_source_region,1544,0,69,0
1545,1228,E,assumed_same_zone_source_distance_aggregation,1228,0.0524034350019157,115,0
1546,43,E,assumed_same_zone_source_distance_aggregation,1546,0,115,1
1547,43,E,assumed_same_zone_source_distance_aggregation,1230,0.011588567642293,230,0
1548,45,E,assumed_same_zone_source_distance_aggregation,1548,0,115,0
1549,44,E,assumed_same_zone_source_distance_aggregation,1232,0.000654904573201318,230,0
